Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
2773;21, RUE JEAN-PIERRE TIMBAUD 28, RUE DE MALTE;75011;Paris;2015;PARIS HAB;12;5;7;0;0;acquisition réhabilitation;;11;logement familial;653647.40957;6862998.5713;"{""coordinates"": [2.3681544946253, 48.86534881438442], ""type"": ""Point""}";48.86534881438442,2.3681544946253
2985;1, BOULEVARD DIDEROT;75012;Paris;2016;RIVP;2;0;2;0;0;construction neuve;;12;logement familial;653662.64;6860783.418;"{""coordinates"": [2.368603537756244, 48.84542918904844], ""type"": ""Point""}";48.84542918904844,2.368603537756244
2998;59, RUE SAUFFROY;75017;Paris;2016;RIVP;16;5;2;0;9;acquisition réhabilitation;;17;logement familial;650321.224;6866143.677;"{""coordinates"": [2.322448590502675, 48.89338384457772], ""type"": ""Point""}";48.89338384457772,2.322448590502675
3156;164, AVENUE LEDRU ROLLIN;75011;Paris;2017;RIVP;1;1;0;0;0;acquisition réhabilitation;;11;logement familial;654464.372;6862020.846;"{""coordinates"": [2.37939502798358, 48.856614504304396], ""type"": ""Point""}";48.856614504304396,2.37939502798358
3187;146, RUE DE VAUGIRARD APHP (PAVILLON BLUMENTHAL);75015;Paris;2017;RSF;25;25;0;0;0;construction neuve;;15;maison relais;649765.477;6860646.904;"{""coordinates"": [2.315519173569623, 48.84390948940887], ""type"": ""Point""}";48.84390948940887,2.315519173569623
3199;34 RUE DE CASTAGNARY (BAINS DOUCHES);75015;Paris;2017;SOCALOG;17;0;0;0;17;construction neuve;;15;logement familial;649297.579;6859547.712;"{""coordinates"": [2.309275067347615, 48.83398780171307], ""type"": ""Point""}";48.83398780171307,2.309275067347615
3216;5 RUE DE LA HUCHETTE;75005;Paris;2017;AXIMO;1;0;1;0;0;acquisition conventionnement;;5;logement familial;652032.652;6861616.228;"{""coordinates"": [2.346300249200694, 48.852799341988955], ""type"": ""Point""}";48.852799341988955,2.346300249200694
3233;13 RUE D'ARMAILLE;75017;Paris;2017;AXIMO;6;3;3;0;0;acquisition conventionnement;;17;logement familial;648049.064;6864429.35;"{""coordinates"": [2.291670756903644, 48.87778822842485], ""type"": ""Point""}";48.87778822842485,2.291670756903644
2858;23, RUE DE L'ABBE GREGOIRE;75006;Paris;2015;SIEMP;12;7;5;0;0;acquisition réhabilitation;;6;logement familial;650461.92907;6861123.022;"{""coordinates"": [2.324952899792073, 48.8482451189849], ""type"": ""Point""}";48.8482451189849,2.324952899792073
2889;12 VILLA LAUGIER;75017;Paris;2016;AXIMO;5;1;4;0;0;acquisition conventionnement;;17;logement familial;648329.253;6864955.911;"{""coordinates"": [2.295426753581611, 48.88254595415138], ""type"": ""Point""}";48.88254595415138,2.295426753581611
2892;37 BIS RUE DE MONTREUIL;75011;Paris;2016;BATIGERE;2;2;0;0;0;acquisition réhabilitation;;11;logement familial;655030.608;6861335.145;"{""coordinates"": [2.387184472185457, 48.85048779429677], ""type"": ""Point""}";48.85048779429677,2.387184472185457
2900;56-58, RUE LEON FROT 3, RUE CARRIERE MAINGUET;75011;Paris;2016;ELOGIE;6;2;4;0;0;construction neuve;;11;logement familial;654945.95;6861988.537;"{""coordinates"": [2.385961611610782, 48.85635781006743], ""type"": ""Point""}";48.85635781006743,2.385961611610782
2911;1-5, RUE LUCIEN ET SACHA GUITRY VINCENNES I;75020;Paris;2016;ELOGIE;115;12;47;0;56;acquisition conventionnement;;20;logement familial;656268.06;6861064.939;"{""coordinates"": [2.404074854984459, 48.84814300784374], ""type"": ""Point""}";48.84814300784374,2.404074854984459
2950;GROUPE CHARENTON MEUNIERS 41-45, RUE DES MEUNIERS;75012;Paris;2016;PARIS HAB;20;7;9;0;4;construction neuve;;12;logement familial;655470.615;6859608.603;"{""coordinates"": [2.393361138062236, 48.83499146635685], ""type"": ""Point""}";48.83499146635685,2.393361138062236
