Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN18587;2021-07-11;;YAMAMOTO;6 rue Chabanais 75002;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,20m);2;75102;48.86731500000756,2.336889999638113
DSN20515;2021-07-21;;L'ÉPI DU PRINCE;44 rue Monsieur le Prince 75006;Contre-terrasse estivale sur stationnement (L=6,40m l=1,60m);6;75106;48.848727000150845,2.340443999758581
DSN22979;2021-07-27;;CAFE BANGLA;140 rue du Faubourg Saint denis 75010;Contre-terrasse estivale sur stationnement (L=8,00m l=1,20m);10;75110;48.87736800014695,2.356421000127707
DSN20596;2021-07-22;;LES TONTONS BRINGUEURS;1 rue Boyer 75020;Contre-terrasse estivale sur stationnement (L=17,00m l=1,70m);20;75120;48.866983000399024,2.392761999489124
DSN20642;2021-07-22;;JOYA;36 rue de la Rochefoucauld 75009;Contre-terrasse permanente sur stationnement (L=5,00m l=1,80m);9;75109;48.87936700037293,2.334919000212849
DSN25078;2021-07-29;;LA CHOPE;227 rue du Faubourg Saint martin 75010;"Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,00m)";10;75110;48.88176200043008,2.365759000367252
DSN25177;2021-07-30;;AUBERGE SAINT AUGUSTIN;49 rue de Laborde 75008;Contre-terrasse estivale sur stationnement (L=3,00m l=1,50m);8;75108;48.87546500013457,2.317569000220908
DSN23269;2021-07-27;;LE CAFÉ D'ALBERT;117 rue Ordener 75018;"Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m) ; Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m)";18;75118;48.89260399965268,2.34307599998028
DSN16809;2021-07-05;;CABALLITO;28 avenue de Laumiere 75019;Contre-terrasse estivale sur trottoir face à la devanture (L=1,20m l=1,20m);19;75119;48.88438999990227,2.3802960004763
DSN16863;2021-07-06;;VIENG SIAM;37 rue Tiquetonne 75002;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,60m);2;75102;48.864724000087996,2.34718399997409
DSN16929;2021-07-06;;ZOUZOU;8 rue Leopold Bellan 75002;Contre-terrasse estivale sur trottoir face à la devanture (L=4,00m l=2,00m);2;75102;48.866481999725295,2.346606999365164
DSN18981;2021-07-13;;MAUVAISES GRAINES;30 rue de Domremy 75013;Contre-terrasse estivale sur places et terre-pleins (L=10,00m l=7,00m);13;75113;48.82976799960667,2.371762000467697
DSN18984;2021-07-13;;CAPITALE;10 rue Pradier 75019;Contre-terrasse estivale sur stationnement (L=10,00m l=1,70m);19;75119;48.87517500029692,2.381625999497012
DSN20952;2021-07-25;;MAOZ FALAFEL;36 rue Saint andre des Arts 75006;Terrasse estivale sur trottoir face à la devanture (L=3,60m l=1,80m);6;75106;48.85339599979226,2.341725999995013
DSN33545;2021-09-15;;AME ET ESPRIT DU VIN;77 rue Jean de la Fontaine 75016;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,00m);16;75116;48.84874999998198,2.26610800048022
DSN35069;2021-10-05;;BISTROT HAPPINESS;150 avenue Jean Jaures 75019;Contre-terrasse estivale sur trottoir face à la devanture (L=8,50m l=1,40m);19;75119;48.88710799966076,2.38732699953795
DSN35092;2021-10-05;;QASTI CHAWARMA AND GRILL;214 rue Saint martin 75003;Contre-terrasse estivale sur voie piétonne (L=8,70m l=1,60m);3;75103;48.86375199979051,2.352870000656957
DSN23302;2021-07-27;;LES PARESSEUX;24 rue des Dames 75017;Terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,40m);17;75117;48.884667000335064,2.324482000122473
DSN35173;2021-10-06;;LE BEAUJOLAIS D AUTEUIL;99 boulevard de Montmorency 75016;Contre-terrasse permanente sur stationnement (L=10,60m l=2,00m);16;75116;48.848602000245,2.260717000489266
DSN35182;2021-10-06;;ATTELIER SUFFREN;110 avenue de Suffren 75015;Contre-terrasse estivale sur aire piétonne provisoire (L=12,00m l=2,80m);15;75115;48.84912200029893,2.303852999876557
DSN33742;2021-09-17;;CRÊPERIE SAINT EUSTACHE;2 rue Sauval 75001;Terrasse estivale sur trottoir face à la devanture (L=4,50m l=1,40m);1;75101;48.861590000112265,2.342420999907661
DSN33777;2021-09-17;;MARDIN CORBA;19 rue du Faubourg Saint denis 75010;Contre-terrasse permanente sur stationnement (L=3,00m l=1,50m);10;75110;48.870447000384466,2.352900000338138
DSN33986;2021-09-20;;MURPHY;128 rue Oberkampf 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=1,40m l=2,20m);11;75111;48.866225999933384,2.380088000342586
DSN34087;2021-09-21;;LIBERTA;2 place Maurice Quentin 75001;Terrasse estivale sur trottoir face à la devanture (L=17,00m l=2,20m);1;75101;48.861329999835455,2.345371999563899
DSN34218;2021-09-22;;THE FAMILY;7 rue la Fayette 75009;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=1,20m l=1,00m);9;75109;48.87359399978121,2.3347990002645362
DSN34247;2021-09-23;;LE 138;138 rue du Faubourg Saint antoine 75012;"Contre-terrasse estivale sur stationnement (L=28,80m l=1,80m) ; Contre-terrasse estivale sur stationnement (L=16,80m l=1,80m)";12;75112;48.850447000175556,2.379459999734874
DSN34785;2021-09-30;;OCOCORICO;30 rue de la Py 75020;Terrasse estivale sur trottoir face à la devanture (L=4,60m l=2,00m);20;75120;48.86502099972077,2.405205999343512
DSN15611;2021-07-02;;LA FOURMI;74 rue des Martyrs 75018;Terrasse estivale sur trottoir face à la devanture (L=22,00m l=5,00m);18;75118;48.88254999996849,2.339748999881913
DSN15650;2021-07-02;;HOTEL MELIA PARIS VILLA MARQUIS;35 rue Jean Goujon 75008;Contre-terrasse estivale sur stationnement (L=17,00m l=2,00m);8;75108;48.86525100008119,2.30448800011213
DSN15658;2021-07-02;;CHAO BA;14 rue Coypel 75013;Contre-terrasse estivale sur stationnement (L=6,00m l=2,00m);13;75113;48.83328600042522,2.355114000398225
