Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN24501;2021-07-28;;CASA DI MARIO;132 rue du Bac 75007;Contre-terrasse estivale sur stationnement (L=5,80m l=2,00m);7;75107;48.85146299980418,2.323533999615088
DSN18114;2021-07-09;;LE PETIT MARGUERY;9 boulevard de Port royal 75013;"Contre-terrasse estivale sur stationnement (L=6,50m l=1,50m) ; Terrasse estivale sur trottoir face à la devanture (L=6,20m l=0,90m)";13;75113;48.83679500006156,2.349840999898852
DSN18119;2021-07-09;;AUX 2 SAVEURS;6 rue Emile Gilbert 75012;"Contre-terrasse estivale sur stationnement (L=2,00m l=1,00m) ; Terrasse estivale sur trottoir face à la devanture (L=1,50m l=0,70m)";12;75112;48.84636599990532,2.373319999900239
DSN18172;2021-07-09;;BRAVA PIZZA;38 rue du Cardinal Lemoine 75005;Contre-terrasse estivale sur stationnement (L=10,00m l=2,30m);5;75105;48.84706499975782,2.352090000126851
DSN20102;2021-07-19;;SHANNON;23 rue Brea 75006;Contre-terrasse permanente sur stationnement (L=20,80m l=1,80m);6;75106;48.84258799962098,2.329849999861672
DSN20163;2021-07-19;;HUMEISSE;16 rue Dupetit thouars 75003;Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,20m);3;75103;48.865613000001616,2.361545000271002
DSN20192;2021-07-20;;LA PAUSA - BOTTEGA ITALIANA;1 rue Greffulhe 75008;Terrasse estivale sur trottoir face à la devanture (L=0,70m l=0,70m);8;75108;48.87251900043097,2.324882999447169
DSN22523;2021-07-26;;AU BABYLONE;13 rue de Babylone 75007;Terrasse estivale sur trottoir face à la devanture (L=5,50m l=0,60m);7;75107;48.851654000209756,2.3232150001926453
DSN24616;2021-07-29;;LE PATROL;2 place Edmond Rostand 75006;Contre-terrasse estivale sur trottoir face à la devanture (L=2,00m l=1,50m);6;75106;48.84767099995432,2.340647999681166
DSN18233;2021-07-09;;LES AGAPES;22 rue le Marois 75016;Contre-terrasse estivale sur places et terre-pleins (L=20,00m l=4,00m);16;75116;48.83809599978152,2.259825999503205
DSN22704;2021-07-26;;LA RUCHE A MIEL;19 rue d'Aligre 75012;Contre-terrasse permanente sur stationnement (L=6,80m l=1,80m);12;75112;48.84975299957391,2.378630000620498
DSN24668;2021-07-29;;ZITI;60 rue Pierre Charron 75008;"Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,30m l=2,20m)";8;75108;48.86946499960387,2.303458000042924
DSN18369;2021-07-10;;FELICIE;174 avenue du Maine 75014;"Terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,80m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,80m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=3,00m)";14;75114;48.83244200010414,2.324727999446963
DSN18433;2021-07-10;;RESTAURATION TRADITIONNELLE;23 rue Liancourt 75014;Contre-terrasse estivale sur stationnement (L=5,50m l=2,00m);14;75114;48.83390500014258,2.327011999994648
DSN20440;2021-07-21;;PIZZOU;28 rue de Douai 75009;"Terrasse estivale sur trottoir face à la devanture (L=6,23m l=0,65m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=0,65m) ; Contre-terrasse estivale sur stationnement (L=7,00m l=1,70m)";9;75109;48.88253099965772,2.332927000587705
DSN20455;2021-07-21;;YAAI THAI DAGUERRE;22 rue Daguerre 75014;"Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,30m l=2,30m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,50m l=2,40m)";14;75114;48.83410299966386,2.329408000459281
DSN22788;2021-07-27;;CAFE DU TRONE;3 avenue du Trone 75011;Contre-terrasse estivale sur trottoir face à la devanture (L=15,50m l=3,50m);11;75111;48.84860899986301,2.397826999588327
DSN24861;2021-07-29;;NON SOLO PIZZE;5 rue Mesnil 75116;Contre-terrasse permanente sur stationnement (L=14,20m l=1,95m);16;75116;48.86875099995416,2.284812000549118
DSN24864;2021-07-29;;LE CARPACCIO;4 rue de Berri 75008;Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m);8;75108;48.87201000038261,2.303575000423067
DSN18500;2021-07-11;;AUX VINS VIVANTS;174 rue Marcadet 75018;Contre-terrasse estivale sur stationnement (L=8,87m l=1,80m);18;75118;48.89153299965067,2.336956000639323
DSN20504;2021-07-21;;HÔTEL EDGAR;31 rue d'Alexandrie 75002;Terrasse estivale sur trottoir face à la devanture (L=60,00m l=4,00m);2;75102;48.868208000295084,2.349928999711836
DSN20559;2021-07-22;;CAFE SAINT PLACIDE;127 rue de Rennes 75006;Terrasse estivale sur trottoir face à la devanture (L=15,00m l=1,50m);6;75106;48.84673099961874,2.326853000088341
DSN22977;2021-07-27;;CAFFE PANEM;18 rue de Crussol 75011;Contre-terrasse permanente sur stationnement (L=6,00m l=1,60m);11;75111;48.864235999563924,2.368520999607199
DSN24994;2021-07-29;;L ENVUE;39 rue Boissy d'Anglas 75008;Contre-terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,20m);8;75108;48.86992900001682,2.322363000347903
DSN18685;2021-07-12;;BAN BUA;28b rue de Richelieu 75001;Contre-terrasse estivale sur stationnement (L=18,00m l=1,80m);1;75101;48.86532700016939,2.336758999424887
DSN23095;2021-07-27;;LE COIN POP;24 rue du Marche Popincourt 75011;Terrasse estivale sur trottoir face à la devanture (L=7,00m l=2,00m);11;75111;48.8644160000146,2.37364799984955
DSN23140;2021-07-27;;LE CANTALOU;50 rue de Meaux 75019;Contre-terrasse estivale sur trottoir face à la devanture (L=12,80m l=1,50m);19;75119;48.88186500027562,2.374104000509743
DSN25081;2021-07-29;;POKEETMOI;11 rue de l'Isly 75008;Contre-terrasse permanente sur stationnement (L=3,40m l=1,80m);8;75108;48.874728000261435,2.325354000117664
DSN25158;2021-07-30;;AU BON COUSCOUS - ABC;96 boulevard des Batignolles 75017;Contre-terrasse estivale sur stationnement (L=6,30m l=1,60m);17;75117;48.881667999954225,2.317280000101409
DSN25181;2021-07-30;;MELECASSE;12 rue de la Butte aux Cailles 75013;Contre-terrasse estivale sur trottoir face à la devanture (L=13,50m l=0,60m);13;75113;48.82798500018776,2.351296000664062
DSN18814;2021-07-12;;BURGER KING;63 boulevard Saint michel 75005;Terrasse estivale sur trottoir face à la devanture (L=9,60m l=1,60m);5;75105;48.84750399997929,2.341176999994441
DSN18832;2021-07-12;;LABRANDA;18 rue Louis Blanc 75010;Terrasse estivale sur trottoir face à la devanture (L=5,80m l=1,00m);10;75110;48.88027100023355,2.366818999758937
DSN18877;2021-07-12;;RESTAURANT BHARATH;51 rue Louis Blanc 75010;Terrasse estivale sur trottoir face à la devanture (L=11,30m l=2,90m);10;75110;48.88294200013345,2.361474000526127
DSN23193;2021-07-27;;LE RUBIS;55 rue Letort 75018;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m);18;75118;48.89676499990136,2.343755000041305
DSN23213;2021-07-27;;A L'EPI D'OR;25 rue Jean jacques Rousseau 75001;Terrasse estivale sur trottoir face à la devanture (L=10,00m l=3,50m);1;75101;48.862847000283004,2.341066999988164
DSN23236;2021-07-27;;I LOVE PHO;129 avenue de Choisy 75013;Contre-terrasse estivale sur stationnement (L=7,50m l=1,80m);13;75113;48.8264080003384,2.359521999635672
DSN16846;2021-07-06;;LA PISCINE;8 rue Guisarde 75006;Terrasse estivale sur trottoir face à la devanture (L=16,00m l=0,60m);6;75106;48.85191099973305,2.334384000192718
DSN16872;2021-07-06;;BISTRO NELLA;27 rue Balard 75015;"Contre-terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,60m) ; Contre-terrasse estivale sur stationnement (L=8,00m l=1,90m)";15;75115;48.84344100022039,2.277582000640214
DSN18988;2021-07-13;;PETROSSIAN;128 rue de la Pompe 75116;"Terrasse estivale sur trottoir face à la devanture (L=9,80m l=1,80m) ; Contre-terrasse permanente sur stationnement (L=5,90m l=1,90m)";16;75116;48.86721799985088,2.280726999442912
DSN20976;2021-07-25;;NEW SAKURA;9 rue des Acacias 75017;Contre-terrasse permanente sur stationnement (L=9,40m l=1,80m);17;75117;48.87655299973864,2.290670000169651
DSN33447;2021-09-14;;LA VACHE AU COMPTOIR;13 rue d'Odessa 75014;Contre-terrasse estivale sur stationnement (L=7,60m l=1,80m);14;75114;48.84225699971081,2.32465400029515
DSN33519;2021-09-15;;LE DÉLICE;34 rue Letort 75018;Contre-terrasse estivale sur stationnement (L=10,80m l=2,00m);18;75118;48.89554999963158,2.343453999540069
DSN33523;2021-09-15;;LE DAILY SYRIEN;55 rue du Faubourg Saint denis 75010;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,00m);10;75110;48.87189899983289,2.353714999394627
DSN33525;2021-09-15;;CUCINA EAT;65 avenue de la Bourdonnais 75007;"Contre-terrasse estivale sur voie piétonne (L=4,00m l=1,20m) ; Contre-terrasse estivale sur aire piétonne provisoire (L=4,00m l=1,20m)";7;75107;48.85698900015325,2.301435000618758
DSN35005;2021-10-04;;QASTI CHAWARMA AND GRILL;214 rue Saint martin;Pas de valeur;3;75103;48.86375199979051,2.352870000656957
DSN35076;2021-10-05;;BISTRO DU FORUM;12 rue Montmartre 75001;Contre-terrasse permanente sur stationnement (L=16,00m l=2,00m);1;75101;48.86369899969905,2.345850999956534
DSN35158;2021-10-06;;BRASSERIE CÉZANNE;45 avenue Kleber 75116;"Contre-terrasse permanente sur stationnement (L=8,16m l=1,84m) ; Contre-terrasse permanente sur stationnement (L=5,00m l=1,84m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,10m)";16;75116;48.8682730003846,2.291329000309015
DSN33632;2021-09-16;;CHEZ PITOU;28 rue Tholoze 75018;Contre-terrasse permanente sur stationnement (L=13,00m l=1,80m);18;75118;48.88712499968545,2.336060999680495
DSN33639;2021-09-16;;BOMBONA;8 rue d'Estrees 75007;Contre-terrasse estivale sur stationnement (L=10,00m l=1,70m);7;75107;48.851723999662916,2.312761999953452
DSN33731;2021-09-17;;ROTISTREET;2 rue des Petits Champs 75002;Contre-terrasse estivale sur trottoir face à la devanture (L=17,00m l=6,00m);2;75102;48.866177000364345,2.339787000336118
DSN33791;2021-09-17;;TABAC ARAGO;53 boulevard Arago 75013;Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=2,00m);13;75113;48.834775999643504,2.345108999414556
DSN33830;2021-09-18;;CHEZ CICCIO;38 rue de l'Eglise 75015;Contre-terrasse estivale sur stationnement (L=3,00m l=1,80m);15;75115;48.844242999721196,2.287701000683499
DSN33833;2021-09-18;;COUSCOUS DELI;60 rue Merlin 75011;Contre-terrasse permanente sur stationnement (L=10,00m l=1,80m);11;75111;48.86206099978725,2.384590999545169
DSN33959;2021-09-20;;SAGAN;8 rue Casimir Delavigne 75006;Contre-terrasse estivale sur stationnement (L=6,00m l=2,00m);6;75106;48.850390999902665,2.339147999809597
DSN34033;2021-09-21;;UGO TRAITEUR;241 rue saint Jacques 75005;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,60m);5;75105;48.84301400037523,2.341505000048756
DSN34140;2021-09-22;;AJI DULCE;19 rue Notre dame de Lorette 75009;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m);9;75109;48.877869000392316,2.3379589993512
DSN34196;2021-09-22;;LE NOUVEAU CARILLON;97 avenue Philippe auguste 75011;Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=2,00m);11;75111;48.85591200008467,2.391006999556481
DSN34208;2021-09-22;;LA LUNA;69 rue du Rocher 75008;Contre-terrasse estivale sur stationnement (L=8,00m l=2,00m);8;75108;48.879362000061676,2.318286000636835
DSN34232;2021-09-22;;SAUVAGE;99 rue du Faubourg Saint denis 75010;Contre-terrasse estivale sur stationnement (L=12,60m l=2,50m);10;75110;48.874625999572466,2.355444000424087
DSN34240;2021-09-23;;MELODIE;6 rue du Faubourg Saint denis 75010;Terrasse estivale sur trottoir face à la devanture (L=16,00m l=1,50m);10;75110;48.87006299977345,2.352948999738148
DSN34248;2021-09-23;;LE BASILIC;2 rue Casimir Perier 75007;"Contre-terrasse estivale sur places et terre-pleins (L=11,00m l=4,50m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=8,60m l=1,90m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=4,50m l=1,90m)";7;75107;48.85761499977034,2.3189519997006203
DSN34272;2021-09-23;;COCOTTE ET TIRE BOUCHON;184 rue Marcadet 75018;Terrasse estivale sur trottoir face à la devanture (L=2,50m l=0,50m);18;75118;48.89158799980595,2.336417999538746
DSN34357;2021-09-23;;BARBCHEMISE;88 rue Oberkampf 75011;Contre-terrasse estivale sur stationnement (L=3,00m l=1,80m);11;75111;48.86542299979299,2.376709999522344
DSN34421;2021-09-24;;KEMER;42 rue du Faubourg Saint denis 75010;Contre-terrasse permanente sur stationnement (L=4,00m l=2,00m);10;75110;48.87143800043533,2.35367599968621
DSN34532;2021-09-27;;MONGOO;33 rue Washington 75008;Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m);8;75108;48.87377000044906,2.303840000085244
DSN34549;2021-09-27;;CHEZ THOMAS;17b rue de Lourmel 75015;Contre-terrasse permanente sur stationnement (L=10,70m l=1,66m);15;75115;48.84948399957001,2.291450999386633
DSN34642;2021-09-28;;PECOPECO;47 rue Jean Baptiste Pigalle 75009;Contre-terrasse estivale sur stationnement (L=5,80m l=2,00m);9;75109;48.88022699974717,2.334642000683715
DSN34650;2021-09-28;;XIAO MIAN 2045;87 rue Beaubourg 75003;Terrasse estivale sur trottoir face à la devanture (L=4,70m l=1,60m);3;75103;48.86413400009881,2.354909999393433
DSN34656;2021-09-28;;LE BRUIT QUI COURT;69t rue Damremont 75018;Contre-terrasse estivale sur stationnement (L=8,76m l=1,50m);18;75118;48.89258500034165,2.335504999822258
DSN34711;2021-09-29;;USKUDAR;18 rue de l'Echiquier 75010;Contre-terrasse permanente sur stationnement (L=9,00m l=2,00m);10;75110;48.87136099969461,2.35152000023715
DSN15534;2021-07-02;;LA MENAGERIE;90 boulevard de l'Hopital 75013;"Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=2,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=7,00m l=1,00m)";13;75113;48.83686899987813,2.3591659995845973
DSN16685;2021-07-05;;MY LITTLE PUB;10 rue de Port mahon 75002;Contre-terrasse estivale sur stationnement (L=6,30m l=1,70m);2;75102;48.86965200001283,2.3340929998329463
DSN15830;2021-07-03;;LE BISTRO DES OIES;2 rue Marie et Louise 75010;"Contre-terrasse estivale sur stationnement (L=15,00m l=1,60m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,00m l=0,60m)";10;75110;48.871856000374386,2.367470999975607
DSN15892;2021-07-03;;CATERINA;7 avenue Rachel 75018;Terrasse estivale sur trottoir face à la devanture (L=8,10m l=4,00m);18;75118;48.88474899990225,2.330537000225581
DSN15988;2021-07-03;;SPACE  LUNCH;13 rue Cambronne 75015;Contre-terrasse permanente sur stationnement (L=6,00m l=2,00m);15;75115;48.846650999729256,2.301912999877168
DSN16001;2021-07-03;;LE SAINT SÉBASTIEN;42 rue Saint sebastien 75011;Terrasse estivale sur trottoir face à la devanture (L=7,75m l=0,60m);11;75111;48.86155799984551,2.371033000484854
DSN16065;2021-07-04;;LE HANG'ART;63 Quai de la Seine 75019;"Contre-terrasse permanente sur stationnement (L=8,40m l=1,90m) ; Contre-terrasse permanente sur stationnement (L=5,70m l=1,90m) ; Contre-terrasse estivale sur places et terre-pleins (L=15,00m l=10,00m)";19;75119;48.88773400032359,2.376519000451506
DSN16174;2021-07-04;;LE RELAIS DE LA POSTE;103 rue du Cherche midi 75006;Contre-terrasse estivale sur stationnement (L=6,50m l=1,70m);6;75106;48.84641299981939,2.3207490000469893
DSN16275;2021-07-05;;1000 1 SIGNES;76 rue de Charonne 75011;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,00m);11;75111;48.853472999907645,2.380169999828645
DSN16334;2021-07-05;;RESTAURANT STEPHANE MARTIN;67 rue des Entrepreneurs 75015;Contre-terrasse estivale sur stationnement (L=5,60m l=1,70m);15;75115;48.84501800020875,2.289786999433896
DSN14946;2021-07-01;;LE MAURITIUS;3 rue Ernest Cresson 75014;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);14;75114;48.832329000310885,2.330081999454773
DSN14968;2021-07-01;;1K PARIS HOTEL;13 boulevard du Temple 75003;Terrasse estivale sur trottoir face à la devanture (L=2,00m l=12,00m);3;75103;48.86395700021675,2.365949000427522
DSN14984;2021-07-01;;DRUNKEN BUNNY;62 rue Mouffetard 75005;"Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=2,00m) ; Contre-terrasse estivale sur stationnement (L=2,00m l=2,00m)";5;75105;48.843015999558354,2.349548999594116
DSN15216;2021-07-02;;ASIA ROOM;16 rue des Ecoles 75005;Contre-terrasse estivale sur stationnement (L=5,00m l=1,50m);5;75105;48.84857199971914,2.349072999571437
DSN15328;2021-07-02;;HAMID SAIT;115 rue de Meaux 75019;Contre-terrasse estivale sur stationnement (L=9,00m l=1,50m);19;75119;48.88445399984436,2.378469999692189
DSN15348;2021-07-02;;BOCAMEXA;81 rue Reaumur 75002;"Contre-terrasse estivale sur trottoir face à la devanture (L=11,20m l=1,20m) ; Terrasse estivale sur trottoir face à la devanture (L=2,00m l=1,00m)";2;75102;48.86690599974833,2.3484390001054303
DSN1184;2021-06-23;;L AUBERGE CAFÉ;4 rue Bertin Poiree 75001;Contre-terrasse permanente sur stationnement (L=14,00m l=1,90m);1;75101;48.85824600011665,2.344685999829947
DSN1263;2021-06-23;;LE GALLIERA;15 avenue Pierre 1er de Serbie 75116;"Contre-terrasse permanente sur stationnement (L=7,00m l=1,90m) ; Contre-terrasse permanente sur stationnement (L=7,00m l=1,90m)";16;75116;48.866469000073515,2.297067000613597
DSN1475;2021-06-24;;POP'S;38 rue du Ranelagh 75016;Contre-terrasse estivale sur stationnement (L=10,30m l=1,80m);16;75116;48.85417299988113,2.27591100000861
DSN1616;2021-06-24;;MADAME SIMONE;15 rue Saint sebastien 75011;Contre-terrasse permanente sur stationnement (L=9,50m l=1,70m);11;75111;48.86112600034745,2.368939999674196
DSN1962;2021-06-24;;MBUTA LOMBI;33 rue Marcadet 75018;Contre-terrasse permanente sur stationnement (L=10,00m l=3,00m);18;75118;48.890356000328396,2.352337999571238
DSN3900;2021-06-25;;GUSTOMASSIMO PARIS;19 rue Moncey 75009;Contre-terrasse permanente sur stationnement (L=11,16m l=1,70m);9;75109;48.87985099975059,2.329400000223024
DSN1893;2021-06-24;;CHEZ VAL;57 rue Montcalm 75018;Contre-terrasse estivale sur places et terre-pleins (L=10,00m l=1,80m);18;75118;48.89439400024083,2.340125000005695
DSN1959;2021-06-24;;LE PETIT CHINON;23 rue du Louvre 75001;Contre-terrasse estivale sur stationnement (L=5,90m l=1,76m);1;75101;48.8650030001031,2.34277500062011
DSN2341;2021-06-24;;THAÏSIL;3 rue du Nil 75002;Terrasse estivale sur trottoir face à la devanture (L=5,30m l=1,40m);2;75102;48.86778699958188,2.348110000309714
DSN3257;2021-06-24;;L'IMPREVU;30 Avenue du Docteur Arnold Netter 75012;"Contre-terrasse estivale sur trottoir face à la devanture (L=11,50m l=1,50m) ; Contre-terrasse estivale sur stationnement (L=4,30m l=1,80m)";12;75112;48.8430009997075,2.405426999784821
DSN3322;2021-06-24;;KOKPING;4 rue Balzac 75008;Contre-terrasse estivale sur stationnement (L=5,40m l=1,90m);8;75108;48.873082999686,2.300187999610685
DSN3336;2021-06-24;;BEN¿S COFFEE;64 rue Belgrand 75020;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,10m);20;75120;48.864493999612385,2.406430999834149
DSN3491;2021-06-24;;SAREDEN;54 rue Petit 75019;Terrasse estivale sur trottoir face à la devanture (L=17,70m l=3,50m);19;75119;48.885087999721506,2.384327000065091
DSN3508;2021-06-24;;NOUILLE VIVANTE;10 rue Chabanais 75002;Contre-terrasse estivale sur voie piétonne (L=8,50m l=1,20m);2;75102;48.86751399957823,2.336996000493016
DSN3579;2021-06-24;;SIAM CITY;19 rue Ferdinand Fabre 75015;Contre-terrasse permanente sur stationnement (L=11,10m l=1,80m);15;75115;48.83821600023474,2.297432999845885
